"name","file","start_line","end_line","scope"
"__init__","superset/commands/dashboard/permalink/create.py",52,56,"Class CreateDashboardPermalinkCommand"
"__init__","superset/commands/explore/form_data/delete.py",40,40,"Class DeleteFormDataCommand"
"__init__","superset/commands/dataset/exceptions.py",41,41,"Class MultiCatalogDisabledValidationError"
"__init__","superset/commands/dataset/exceptions.py",53,53,"Class DatabaseNotFoundValidationError"
"__init__","superset/commands/dataset/exceptions.py",62,62,"Class DatasetExistsValidationError"
"__init__","superset/commands/dataset/exceptions.py",71,71,"Class DatasetColumnNotFoundValidationError"
"__init__","superset/commands/dataset/exceptions.py",80,80,"Class DatasetColumnsDuplicateValidationError"
"__init__","superset/commands/dataset/exceptions.py",91,91,"Class DatasetColumnsExistsValidationError"
"__init__","superset/commands/dataset/exceptions.py",100,100,"Class DatasetMetricsNotFoundValidationError"
"__init__","superset/commands/dataset/exceptions.py",109,109,"Class DatasetMetricsDuplicateValidationError"
"__init__","superset/commands/dataset/exceptions.py",120,120,"Class DatasetMetricsExistsValidationError"
"__init__","superset/commands/dataset/exceptions.py",129,129,"Class TableNotFoundValidationError"
"__init__","superset/commands/dataset/exceptions.py",145,145,"Class OwnersNotFoundValidationError"
"__init__","superset/commands/dataset/exceptions.py",152,152,"Class DatasetDataAccessIsNotAllowed"
"__init__","superset/mcp_service/chart/tool/get_chart_preview.py",82,82,"Class PreviewFormatStrategy"
"__init__","superset/mcp_service/chart/tool/get_chart_preview.py",921,921,"Class PreviewFormatGenerator"
"__init__","superset/mcp_service/chart/tool/get_chart_preview.py",1866,1866,"Class TransientChartFromKey"
"__init__","superset/mcp_service/chart/tool/get_chart_preview.py",1950,1950,"Class TransientChart"
"__init__","superset/mcp_service/utils/retry_utils.py",211,219,"Class RetryableOperation"
"__init__","superset/utils/date_parser.py",666,666,"Class EvalText"
"__init__","superset/utils/date_parser.py",675,675,"Class EvalDateTimeFunc"
"__init__","superset/utils/date_parser.py",683,683,"Class EvalDateAddFunc"
"__init__","superset/utils/date_parser.py",697,697,"Class EvalDateDiffFunc"
"__init__","superset/utils/date_parser.py",715,715,"Class EvalDateTruncFunc"
"__init__","superset/utils/date_parser.py",746,746,"Class EvalLastDayFunc"
"__init__","superset/utils/date_parser.py",771,771,"Class EvalHolidayFunc"
"__init__","superset/commands/database/delete.py",39,39,"Class DeleteDatabaseCommand"
"__init__","superset/jinja_context.py",136,144,"Class ExtraCache"
"__init__","superset/jinja_context.py",590,590,"Class WhereInMacro"
"__init__","superset/jinja_context.py",661,670,"Class BaseTemplateProcessor"
"__init__","superset/commands/tasks/prune.py",50,50,"Class TaskPruneCommand"
"__init__","tests/integration_tests/db_engine_specs/datastore_tests.py",105,105,"Class Row"
"__init__","superset/cli/test_db.py",85,85,"Class TestRegistry"
"__init__","superset/commands/annotation_layer/delete.py",35,35,"Class DeleteAnnotationLayerCommand"
"__init__","superset/app.py",208,212,"Class AppRootMiddleware"
"__init__","superset/commands/tag/delete.py",38,38,"Class DeleteTaggedObjectCommand"
